   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2101    0.002    0.000    0.002    0.000 dtypes.py:551(as_dtype)
     1259    0.000    0.000    0.000    0.000 dtypes.py:83(_is_ref_dtype)
       17    0.000    0.000    0.000    0.000 dtypes.py:88(_as_ref)
     1192    0.001    0.000    0.001    0.000 dtypes.py:96(base_dtype)
   334565    0.676    0.000    1.755    0.000 errors_impl.py:463(__enter__)
   334565    2.252    0.000    3.954    0.000 errors_impl.py:467(__exit__)
       10    0.000    0.000    0.000    0.000 execute.py:110(make_str)
       47    0.000    0.000    0.000    0.000 execute.py:117(make_bool)
       20    0.000    0.000    0.000    0.000 execute.py:124(make_type)
        4    0.000    0.000    0.000    0.000 execute.py:134(make_shape)
      140    0.000    0.000    0.000    0.000 execute.py:86(record_gradient)
       38    0.000    0.000    0.001    0.000 fromnumeric.py:2408(prod)
     1000    0.005    0.000    0.034    0.000 fromnumeric.py:2806(mean)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:357(repeat)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:55(_wrapfunc)
     1000    0.003    0.000    0.017    0.000 fromnumeric.py:553(partition)
     1000    0.006    0.000    0.124    0.000 function_base.py:3966(_ureduce)
     1000    0.004    0.000    0.128    0.000 function_base.py:4020(median)
     1000    0.018    0.000    0.098    0.000 function_base.py:4108(_median)
      600    0.002    0.000    0.003    0.000 functools.py:44(update_wrapper)
      600    0.000    0.000    0.000    0.000 functools.py:74(wraps)
   509040    0.171    0.000    0.171    0.000 game.py:105(get_points)
   102008    0.056    0.000    0.056    0.000 game.py:115(__init__)
   460722    0.343    0.000    0.613    0.000 game.py:121(get_hand_codes)
   460722    0.271    0.000    0.271    0.000 game.py:122(<listcomp>)
   332372    0.174    0.000    0.174    0.000 game.py:124(get_card_from_hand)
   255520    0.521    0.000    0.678    0.000 game.py:130(play)
   384180    0.541    0.000    1.689    0.000 game.py:136(get_legal_moves)
   190200    0.147    0.000    0.147    0.000 game.py:155(<listcomp>)
    25452    0.227    0.000    2.665    0.000 game.py:17(__init__)
   127760    0.383    0.000    1.254    0.000 game.py:173(get_lowest_playable_card)
    51104    0.320    0.000    0.599    0.000 game.py:182(sort_hand)
    51104    0.041    0.000    0.041    0.000 game.py:183(<listcomp>)
    25552    0.052    0.000    2.237    0.000 game.py:190(set_up_game)
   127760    0.218    0.000    1.411    0.000 game.py:196(start_trick)
   127760    0.623    0.000    3.327    0.000 game.py:204(finish_trick)
    25552    0.275    0.000    1.527    0.000 game.py:218(shuffle_and_deal_cards)
    25552    0.052    0.000    0.082    0.000 game.py:220(<listcomp>)
    25552    0.019    0.000    0.019    0.000 game.py:221(<listcomp>)
    51004    0.143    0.000    1.241    0.000 game.py:233(set_first_lead)
    25452    0.037    0.000    1.217    0.000 game.py:242(create_deck)
    25452    0.176    0.000    1.180    0.000 game.py:244(<listcomp>)
   114721    1.322    0.000    1.485    0.000 game.py:247(get_lowest_card)
   114721    0.048    0.000    0.048    0.000 game.py:250(<listcomp>)
   127760    0.109    0.000    0.152    0.000 game.py:266(put_players_in_turn_order)
   511940    0.281    0.000    0.281    0.000 game.py:272(get_player)
   255520    0.453    0.000    0.774    0.000 game.py:279(split_players)
   255520    0.278    0.000    1.769    0.000 game.py:288(play_trick_for_players)
   127760    0.075    0.000    0.075    0.000 game.py:304(update_hearts_broken)
   127760    0.489    0.000    0.645    0.000 game.py:312(give_trick_points)
   127760    0.075    0.000    0.075    0.000 game.py:321(<listcomp>)
    25552    0.027    0.000    0.039    0.000 game.py:330(reset_player_order)
   334376    0.701    0.000    3.848    0.000 game.py:343(get_ordered_deck_codes)
  3343760    0.595    0.000    0.595    0.000 game.py:344(<lambda>)
   334376    0.460    0.000    0.460    0.000 game.py:345(<listcomp>)
      102    0.000    0.000    0.001    0.000 game.py:374(get_percentage_points)
        1    0.000    0.000    0.000    0.000 game.py:381(show_final_scores)
    25452    0.515    0.000    3.201    0.000 game.py:48(set_hands)
    25452    0.042    0.000    0.069    0.000 game.py:59(<listcomp>)
      100    0.000    0.000    0.001    0.000 game.py:71(update_points_won)
      100    0.000    0.000    0.000    0.000 game.py:72(<listcomp>)
    50904    0.050    0.000    0.107    0.000 game.py:74(get_deck_codes)
    50904    0.057    0.000    0.057    0.000 game.py:75(<listcomp>)
    50904    0.829    0.000    2.335    0.000 game.py:77(get_unique_hand_codes)
    50904    0.989    0.000    0.989    0.000 game.py:81(<listcomp>)
    50904    0.384    0.000    0.384    0.000 game.py:82(<listcomp>)
   509040    0.979    0.000    1.862    0.000 game.py:88(__init__)
   509040    0.384    0.000    0.384    0.000 game.py:98(get_value)
        3    0.000    0.000    0.003    0.001 gen_array_ops.py:1742(fill)
        4    0.000    0.000    0.003    0.001 gen_array_ops.py:2058(identity)
       11    0.000    0.000    0.012    0.001 gen_array_ops.py:3866(reshape)
       13    0.000    0.000    0.007    0.001 gen_array_ops.py:4479(shape)
        4    0.000    0.000    0.003    0.001 gen_array_ops.py:513(_broadcast_gradient_args)
        3    0.000    0.000    0.003    0.001 gen_array_ops.py:5600(tile)
        4    0.000    0.000    0.002    0.000 gen_control_flow_ops.py:283(no_op)
        2    0.000    0.000    0.003    0.001 gen_data_flow_ops.py:580(dynamic_stitch)
        5    0.000    0.000    0.003    0.001 gen_math_ops.py:1646(_floor_div)
        6    0.000    0.000    0.004    0.001 gen_math_ops.py:166(add)
        2    0.000    0.000    0.001    0.001 gen_math_ops.py:1681(_floor_mod)
        4    0.000    0.000    0.003    0.001 gen_math_ops.py:2404(_mat_mul)
        5    0.000    0.000    0.006    0.001 gen_math_ops.py:2505(maximum)
       15    0.000    0.000    0.009    0.001 gen_math_ops.py:2709(_mul)
        2    0.000    0.000    0.001    0.001 gen_math_ops.py:2744(_neg)
        6    0.000    0.000    0.005    0.001 gen_math_ops.py:2891(_prod)
        2    0.000    0.000    0.002    0.001 gen_math_ops.py:3229(_range)
        6    0.000    0.000    0.003    0.001 gen_math_ops.py:3323(_real_div)
        4    0.000    0.000    0.002    0.001 gen_math_ops.py:4619(_sub)
        8    0.000    0.000    0.013    0.002 gen_math_ops.py:4654(_sum)
        3    0.000    0.000    0.002    0.001 gen_math_ops.py:877(cast)
        1    0.000    0.000    0.001    0.001 gen_nn_ops.py:4193(_relu_grad)
        2    0.000    0.000    0.001    0.001 gen_nn_ops.py:473(bias_add_grad)
       12    0.000    0.000    0.008    0.001 gen_state_ops.py:223(is_variable_initialized)
       12    0.000    0.000    0.009    0.001 gen_state_ops.py:23(assign)
        1    0.000    0.000    0.001    0.001 gen_state_ops.py:72(assign_add)
        4    0.000    0.000    0.002    0.001 gen_state_ops.py:893(_variable_v2)
        4    0.000    0.000    0.000    0.000 generic_utils.py:234(has_arg)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:106(_MarkReachedOps)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:149(_PendingCount)
       19    0.000    0.000    0.000    0.000 gradients_impl.py:203(_AsList)
        1    0.000    0.000    0.002    0.002 gradients_impl.py:207(_DefaultGradYs)
       17    0.000    0.000    0.000    0.000 gradients_impl.py:265(_VerifyGeneratedGradients)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:281(_StopOps)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:310(<genexpr>)
       44    0.000    0.000    0.000    0.000 gradients_impl.py:314(_maybe_colocate_with)
       17    0.000    0.000    0.092    0.005 gradients_impl.py:338(_MaybeCompile)
        1    0.001    0.001    0.100    0.100 gradients_impl.py:375(gradients)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:467(<listcomp>)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:485(<listcomp>)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:486(<listcomp>)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:487(<listcomp>)
       42    0.000    0.000    0.000    0.000 gradients_impl.py:541(<genexpr>)
       17    0.000    0.000    0.092    0.005 gradients_impl.py:581(<lambda>)
        1    0.000    0.000    0.000    0.000 gradients_impl.py:619(<listcomp>)
       21    0.000    0.000    0.000    0.000 gradients_impl.py:634(_UpdatePendingAndEnqueueReady)
       26    0.000    0.000    0.000    0.000 gradients_impl.py:674(_SetGrad)
       26    0.000    0.000    0.000    0.000 gradients_impl.py:679(<listcomp>)
        4    0.000    0.000    0.000    0.000 gradients_impl.py:689(_GetGrad)
       21    0.000    0.000    0.000    0.000 gradients_impl.py:701(_GetGrads)
       17    0.000    0.000    0.001    0.000 gradients_impl.py:729(_LogOpGradients)
       45    0.000    0.000    0.000    0.000 gradients_impl.py:733(_FilterGrad)
       17    0.000    0.000    0.000    0.000 gradients_impl.py:742(<listcomp>)
       17    0.000    0.000    0.000    0.000 gradients_impl.py:744(<listcomp>)
       21    0.000    0.000    0.000    0.000 gradients_impl.py:791(_AggregatedGrads)
       21    0.000    0.000    0.000    0.000 gradients_impl.py:829(<listcomp>)
      100    0.000    0.000    0.000    0.000 hearts.py:118(<listcomp>)
      100    0.000    0.000    0.000    0.000 hearts.py:121(<listcomp>)
      101    0.840    0.008  219.462    2.173 hearts.py:204(test_model_3)
    25452    0.038    0.000    0.064    0.000 hearts.py:210(<listcomp>)
    25452    0.899    0.000  218.557    0.009 hearts.py:215(run_single_greedy_hand)
    25452    0.015    0.000    0.015    0.000 hearts.py:229(<listcomp>)
        1    0.010    0.010  222.467  222.467 hearts.py:26(run_game)
        4    0.000    0.000    0.000    0.000 init_ops.py:189(__init__)
        4    0.000    0.000    0.002    0.000 init_ops.py:194(__call__)
        8    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
        4    0.000    0.000    0.000    0.000 inspect.py:2092(_signature_from_function)
        4    0.000    0.000    0.000    0.000 inspect.py:2173(_signature_from_callable)
       22    0.000    0.000    0.000    0.000 inspect.py:2431(__init__)
       22    0.000    0.000    0.000    0.000 inspect.py:2480(name)
       12    0.000    0.000    0.000    0.000 inspect.py:2492(kind)
        4    0.000    0.000    0.000    0.000 inspect.py:2710(__init__)
       26    0.000    0.000    0.000    0.000 inspect.py:2755(<genexpr>)
        4    0.000    0.000    0.000    0.000 inspect.py:2779(from_callable)
        6    0.000    0.000    0.000    0.000 inspect.py:2785(parameters)
        4    0.000    0.000    0.000    0.000 inspect.py:3031(signature)
        4    0.000    0.000    0.000    0.000 inspect.py:485(unwrap)
        4    0.000    0.000    0.000    0.000 inspect.py:505(_is_wrapper)
        1    0.000    0.000    0.128    0.128 interfaces.py:23(wrapper)
        1    0.000    0.000    0.000    0.000 interfaces.py:636(get_updates_arg_preprocessing)
        1    0.000    0.000    0.002    0.002 math_grad.py:306(_SquareGrad)
        5    0.000    0.000    0.010    0.002 math_grad.py:33(_safe_shape_div)
        3    0.000    0.000    0.028    0.009 math_grad.py:38(_SumGrad)
        1    0.000    0.000    0.007    0.007 math_grad.py:720(_SubGrad)
        2    0.000    0.000    0.019    0.010 math_grad.py:733(_MulGrad)
        1    0.000    0.000    0.011    0.011 math_grad.py:797(_RealDivGrad)
        2    0.000    0.000    0.003    0.002 math_grad.py:912(_MatMulGrad)
        3    0.000    0.000    0.048    0.016 math_grad.py:95(_MeanGrad)
        5    0.000    0.000    0.004    0.001 math_ops.py:1075(floordiv)
       15    0.000    0.000    0.009    0.001 math_ops.py:1113(_mul_dispatch)
        2    0.000    0.000    0.004    0.002 math_ops.py:1164(range)
        8    0.000    0.000    0.000    0.000 math_ops.py:1225(<genexpr>)
        2    0.000    0.000    0.000    0.000 math_ops.py:1227(<listcomp>)
       14    0.000    0.000    0.002    0.000 math_ops.py:1238(_ReductionDims)
        8    0.000    0.000    0.013    0.002 math_ops.py:1261(reduce_sum)
        6    0.000    0.000    0.008    0.001 math_ops.py:1414(reduce_prod)
        4    0.000    0.000    0.003    0.001 math_ops.py:1729(matmul)
       11    0.000    0.000    0.000    0.000 math_ops.py:2293(conj)
        2    0.000    0.000    0.014    0.007 math_ops.py:2343(reduced_shape)
       13    0.000    0.000    0.002    0.000 math_ops.py:708(cast)
        4    0.000    0.000    0.000    0.000 math_ops.py:813(to_int32)
       34    0.000    0.000    0.023    0.001 math_ops.py:881(binary_op_wrapper)
        1    0.000    0.000    0.001    0.001 math_ops.py:907(r_binary_op_wrapper)
        3    0.000    0.000    0.002    0.001 math_ops.py:973(_truediv_python3)
      500    0.004    0.000    0.960    0.002 models.py:834(fit)
   333876    1.196    0.000  187.567    0.001 models.py:991(predict)
   335376    0.567    0.000    3.143    0.000 nest.py:114(is_sequence)
   334376    1.499    0.000    5.754    0.000 nest.py:226(flatten_dict_items)
        2    0.000    0.000    0.001    0.001 nn_grad.py:237(_BiasAddGrad)
        1    0.000    0.000    0.001    0.001 nn_grad.py:325(_ReluGrad)
     1000    0.003    0.000    0.004    0.000 numeric.py:1432(rollaxis)
      500    0.001    0.000    0.008    0.000 numeric.py:150(ones)
        9    0.000    0.000    0.000    0.000 numeric.py:2565(array_equal)
   335422    0.235    0.000    2.672    0.000 numeric.py:463(asarray)
     4000    0.002    0.000    0.022    0.000 numeric.py:534(asanyarray)
     2011    0.002    0.000    0.003    0.000 numerictypes.py:660(issubclass_)
     2011    0.005    0.000    0.008    0.000 numerictypes.py:728(issubdtype)
        2    0.000    0.000    0.000    0.000 op_def_library.py:147(_MakeInt)
       10    0.000    0.000    0.000    0.000 op_def_library.py:158(_MakeStr)
       47    0.000    0.000    0.000    0.000 op_def_library.py:165(_MakeBool)
      184    0.001    0.000    0.001    0.000 op_def_library.py:172(_MakeType)
        4    0.000    0.000    0.000    0.000 op_def_library.py:183(_MakeShape)
  338/288    0.000    0.000    0.001    0.000 op_def_library.py:248(_MaybeColocateWith)
      144    0.012    0.000    0.106    0.001 op_def_library.py:339(_apply_op_helper)
      166    0.000    0.000    0.000    0.000 op_def_library.py:37(_Attr)
      132    0.000    0.000    0.000    0.000 op_def_library.py:45(_AttrValue)
       12    0.000    0.000    0.000    0.000 op_def_library.py:457(<genexpr>)
        4    0.000    0.000    0.000    0.000 op_def_library.py:487(<listcomp>)
      348    0.001    0.000    0.001    0.000 op_def_library.py:52(_SatisfiesTypeConstraint)
      238    0.000    0.000    0.000    0.000 op_def_library.py:550(<listcomp>)
        4    0.000    0.000    0.000    0.000 op_def_library.py:572(<listcomp>)
      238    0.000    0.000    0.000    0.000 op_def_library.py:63(_IsListParameter)
       50    0.000    0.000    0.000    0.000 op_def_library.py:638(<genexpr>)
       17    0.000    0.000    0.000    0.000 op_def_library.py:772(<listcomp>)
      144    0.000    0.000    0.000    0.000 op_def_library.py:781(<listcomp>)
      323    0.000    0.000    0.000    0.000 op_def_library.py:79(_IsListValue)
      144    0.000    0.000    0.001    0.000 op_def_library.py:83(_Flatten)
      144    0.000    0.000    0.000    0.000 op_def_library.py:86(<listcomp>)
      144    0.000    0.000    0.000    0.000 op_def_library.py:88(<listcomp>)
       35    0.000    0.000    0.000    0.000 ops.py:1051(internal_convert_to_tensor_or_indexed_slices)
        3    0.000    0.000    0.000    0.000 ops.py:1086(internal_convert_n_to_tensor_or_indexed_slices)
  1004794    0.554    0.000    1.935    0.000 ops.py:109(_as_graph_element)
        2    0.000    0.000    0.000    0.000 ops.py:1128(convert_n_to_tensor_or_indexed_slices)
        1    0.000    0.000    0.000    0.000 ops.py:128(is_dense_tensor_like)
        3    0.000    0.000    0.000    0.000 ops.py:1305(_device_string)
      178    0.003    0.000    0.005    0.000 ops.py:1312(_NodeDef)
      178    0.003    0.000    0.022    0.000 ops.py:1367(__init__)
      178    0.000    0.000    0.002    0.000 ops.py:1439(<listcomp>)
       34    0.000    0.000    0.000    0.000 ops.py:1443(<listcomp>)
      386    0.000    0.000    0.001    0.000 ops.py:1446(<genexpr>)
      196    0.001    0.000    0.002    0.000 ops.py:1584(colocation_groups)
       47    0.000    0.000    0.000    0.000 ops.py:1595(<listcomp>)
        4    0.000    0.000    0.000    0.000 ops.py:1607(_get_control_flow_context)
  2682017    3.355    0.000    3.355    0.000 ops.py:1623(name)
      808    0.000    0.000    0.000    0.000 ops.py:1634(_id)
      220    0.000    0.000    0.000    0.000 ops.py:1639(device)
        3    0.000    0.000    0.000    0.000 ops.py:1702(_set_device)
      178    0.000    0.000    0.000    0.000 ops.py:172(uid)
      178    0.001    0.000    0.002    0.000 ops.py:1824(_recompute_node_def)
      178    0.000    0.000    0.001    0.000 ops.py:1827(<listcomp>)
        5    0.000    0.000    0.000    0.000 ops.py:1831(<listcomp>)
     1025    0.000    0.000    0.000    0.000 ops.py:1839(outputs)
      556    0.000    0.000    0.000    0.000 ops.py:1849(__init__)
      271    0.000    0.000    0.000    0.000 ops.py:1852(__iter__)
       21    0.000    0.000    0.000    0.000 ops.py:1855(__len__)
       17    0.000    0.000    0.000    0.000 ops.py:1858(__bool__)
      107    0.000    0.000    0.000    0.000 ops.py:1864(__getitem__)
      556    0.001    0.000    0.001    0.000 ops.py:1869(inputs)
   670734    0.897    0.000    0.897    0.000 ops.py:1925(type)
  1005436    0.336    0.000    0.336    0.000 ops.py:1942(graph)
      844    0.000    0.000    0.000    0.000 ops.py:1947(node_def)
      398    0.004    0.000    0.005    0.000 ops.py:1989(get_attr)
       17    0.000    0.000    0.001    0.000 ops.py:2126(get_gradient_function)
      178    0.000    0.000    0.033    0.000 ops.py:2158(call_with_requiring)
      178    0.002    0.000    0.039    0.000 ops.py:2199(set_shapes_for_outputs)
      226    0.000    0.000    0.000    0.000 ops.py:2368(_name_from_scope_name)
      178    0.006    0.000    0.007    0.000 ops.py:2530(_extract_stack)
     4163    0.000    0.000    0.000    0.000 ops.py:2566(_extract_frame_info)
      542    0.000    0.000    0.000    0.000 ops.py:2570(_check_not_finalized)
      178    0.001    0.000    0.002    0.000 ops.py:2579(_add_op)
      178    0.001    0.000    0.002    0.000 ops.py:260(__init__)
      178    0.000    0.000    0.000    0.000 ops.py:2605(_c_graph)
   668760    0.772    0.000    0.772    0.000 ops.py:2611(version)
      179    0.000    0.000    0.000    0.000 ops.py:2627(graph_def_versions)
      182    0.000    0.000    0.000    0.000 ops.py:2675(_get_control_flow_context)
        8    0.000    0.000    0.000    0.000 ops.py:2683(_set_control_flow_context)
        4    0.001    0.000    0.004    0.001 ops.py:2691(_as_graph_def)
       21    0.000    0.000    0.000    0.000 ops.py:2776(_is_function)
      400    0.000    0.000    0.000    0.000 ops.py:2847(building_function)
      178    0.007    0.000    0.081    0.000 ops.py:2853(create_op)
  1340905    0.247    0.000    0.247    0.000 ops.py:287(op)
   336326    0.123    0.000    0.123    0.000 ops.py:292(dtype)
   670845    0.724    0.000    0.991    0.000 ops.py:297(graph)
  1004667    1.670    0.000    7.567    0.000 ops.py:3002(as_graph_element)
  1005682    2.428    0.000    5.145    0.000 ops.py:302(name)
  1004667    2.393    0.000    5.897    0.000 ops.py:3037(_as_graph_element_locked)
        9    0.000    0.000    0.000    0.000 ops.py:309(device)
   335818    0.101    0.000    0.101    0.000 ops.py:314(shape)
      178    0.001    0.000    0.001    0.000 ops.py:3226(_next_id)
        3    0.000    0.000    0.000    0.000 ops.py:3233(_last_id)
   669156    1.064    0.000    4.088    0.000 ops.py:3237(as_default)
        8    0.000    0.000    0.000    0.000 ops.py:3277(add_to_collection)
        4    0.000    0.000    0.000    0.000 ops.py:3296(add_to_collections)
   334376    1.606    0.000    3.042    0.000 ops.py:3343(get_collection)
       34    0.000    0.000    0.000    0.000 ops.py:3397(_original_op)
      512    0.001    0.000    0.003    0.000 ops.py:3423(name_scope)
      208    0.001    0.000    0.001    0.000 ops.py:3535(unique_name)
      112    0.000    0.000    0.000    0.000 ops.py:3597(colocate_with)
